entry_time,exit_time,direction,entry_price,exit_price,sl_price,tp_price,exit_reason,gross_r,net_r
2023-02-14T08:00:00,2023-02-14T11:00:00,long,24850.0,25350.0,24600.0,25350.0,tp,2.0,1.92
2023-05-03T13:30:00,2023-05-03T15:00:00,short,29100.0,29380.0,29380.0,28540.0,sl,-1.0,-1.0
2023-07-19T09:15:00,2023-07-19T12:45:00,long,30150.0,30980.0,29900.0,30980.0,tp,3.32,3.2
2023-09-11T16:00:00,2023-09-11T17:30:00,short,25600.0,25740.0,25740.0,25180.0,sl,-1.0,-1.05
2023-11-27T10:00:00,2023-11-27T14:00:00,long,37200.0,37950.0,36950.0,37950.0,tp,3.0,2.9
2024-01-08T08:30:00,2024-01-08T09:45:00,long,44100.0,43850.0,43850.0,44850.0,sl,-1.0,-1.0
2024-03-22T12:00:00,2024-03-22T18:00:00,long,64200.0,66450.0,63700.0,66450.0,tp,4.5,4.38
2024-06-14T14:00:00,2024-06-14T15:30:00,short,66300.0,65100.0,66800.0,65100.0,tp,2.4,2.3
2024-09-05T07:00:00,2024-09-05T08:00:00,short,56100.0,56480.0,56480.0,55340.0,sl,-1.0,-1.0
2025-01-17T11:00:00,2025-01-17T16:00:00,long,101200.0,104900.0,100200.0,104900.0,tp,3.7,3.58
2025-04-02T09:30:00,2025-04-02T10:15:00,short,84500.0,85100.0,85100.0,83300.0,sl,-1.0,-1.02
2025-06-28T13:00:00,,,,,,,,,
